"Image type","Feature Class","Feature Name","Segmentation_71-79_segment_Segment_1","Segmentation_71-79_segment_Segment_2","Segmentation_71-79_segment_Segment_3","Segmentation_71-79_segment_Segment_4","Segmentation_71-79_segment_Segment_5","Segmentation_71-79_segment_Segment_6","Segmentation_71-79_segment_Segment_8","Segmentation_71-79_segment_Segment_9","Segmentation_71-79_segment_Segment_10"
"original","glcm","DifferenceAverage","0.14154969282759824","0.07467337947512215","0.09965678668816624","0.0923900886358961","0.06799249479047813","0.05324857578587236","0.08118787189162263","0.09924013506157918","0.10143373417632037"
"original","glcm","DifferenceEntropy","0.5850014909778317","0.3783136286019928","0.4637559064225324","0.44245310884946","0.355557285229852","0.29810929516890455","0.40374073189984205","0.4632268670824617","0.46927790020381843"
"original","glcm","DifferenceVariance","0.12098765339656203","0.06868833528629095","0.08926049021600718","0.08363659892299938","0.0631404748341298","0.05028780937765795","0.07434536800208691","0.08900031461241939","0.09065301649723667"
"original","glcm","Id","0.9292251535862008","0.9626633102624389","0.9501762809510331","0.9538049556820519","0.9660037526047609","0.9733757121070638","0.9594060640541887","0.9503799324692104","0.9492831329118399"
"original","glcm","Idm","0.9292251535862008","0.9626633102624389","0.9501744112329866","0.9538049556820519","0.9660037526047609","0.9733757121070638","0.9594060640541887","0.9503799324692104","0.9492831329118399"
"original","glcm","Idmn","0.9916735474807294","0.9956074482661693","0.9941366812513144","0.9945652889037708","0.9960004414829131","0.9968677308361251","0.9968773895426299","0.9941623449963777","0.994033309754334"
"original","glcm","Idn","0.9716900614344803","0.9850653241049757","0.98006957752139","0.9815219822728207","0.9864015010419044","0.9893502848428255","0.9864686880180629","0.9801519729876841","0.9797132531647359"
"original","glcm","Imc1","-0.5211869933840241","-0.5323498083046265","-0.5309511037405249","-0.5425651307895638","-0.6086891639234546","-0.5965046651912517","-0.6487450037403292","-0.5027973046548218","-0.5498148243805916"
"original","glcm","Imc2","0.8613364169725513","0.7496844671111776","0.812454114960007","0.8080325675361318","0.8163357262386411","0.7479130544786372","0.8907002884339388","0.7855485185192934","0.8332614394995814"
"original","glcm","InverseVariance","0.14154969282759824","0.07467337947512215","0.09963224663880568","0.0923900886358961","0.06799249479047813","0.05324857578587236","0.08118787189162263","0.09924013506157918","0.10143373417632037"
"original","glcm","JointAverage","3.2977056591469767","2.15380504918084","2.7149538901950594","2.350816544457076","2.9693038154140154","2.9868968889449965","3.0996844249386912","2.9540244819258366","2.369526601173338"
"original","glcm","JointEnergy","0.3409275297021484","0.620533920884524","0.48018666064498616","0.4579380652271544","0.6222297342162212","0.7280820835962303","0.46526552647140224","0.5546469971912686","0.4384291760957249"
"original","glcm","JointEntropy","1.9433160653512287","1.1591372988727215","1.5142061091437453","1.429649155523574","1.2655902789762892","0.9711642904351613","1.6527003562327147","1.4469845108657533","1.5819586011237976"
"original","glcm","MCC","0.8660024006691617","0.7830096460557212","0.8126604726455071","0.8103275896065526","0.8740648828635645","0.8839877890340898","0.8891268257898519","0.7714399024165086","0.8277711724603175"
"original","glcm","MaximumProbability","0.47715738635865046","0.773913460604175","0.6473088320895952","0.6012052040315446","0.7807448149016528","0.850134103304166","0.6509476658624227","0.7328198704196276","0.589852465897119"
"original","glcm","SumAverage","6.595411318293953","4.307610098361679","5.429907780390119","4.701633088914152","5.938607630828031","5.973793777889993","6.1993688498773825","5.908048963851673","4.739053202346676"
"original","glcm","SumEntropy","1.8017663725236313","1.0844639193976002","1.414374306235903","1.337259066887679","1.197597784185812","0.9179157146492899","1.5715124843410933","1.347744375804175","1.4805248669474782"
"original","glcm","SumSquares","0.3793665142556406","0.16706607508304988","0.2509834617896824","0.2378865252060527","0.20100867359491853","0.13750340203260492","0.3219966446762125","0.21555332177015932","0.2801020347785625"
"original","gldm","DependenceEntropy","3.36067356377569","2.08770749354542","2.6263108262355384","2.5658177186338484","2.0561454968292283","1.6853721537756816","2.6017902879701453","2.5611766559124787","2.7297144879733124"
"original","gldm","DependenceNonUniformity","7479.558980232037","10462.76439997739","8994.858308523542","10754.28334292842","12852.137941034316","12200.880813953489","12024.428814923536","10753.826459854015","12687.931108719053"
"original","gldm","DependenceNonUniformityNormalized","0.3724323547394332","0.5914173534552818","0.495912355746143","0.5159414384440808","0.6211763142114217","0.6820707073990099","0.5693115295167622","0.49059427280355905","0.4877722246931821"
"original","gldm","DependenceVariance","3.236300250737808","2.1160210888352475","2.535604970510632","2.454688972418258","1.9264694852153623","1.741683081831375","2.2405632415420946","2.5108602532766797","2.5106722706602085"
"original","gldm","GrayLevelNonUniformity","8814.565204401733","12059.5575716466","10089.122394971882","11237.34264056803","13722.369937167714","13633.229539355993","10901.194024904124","13838.684854014598","13507.616177149008"
"original","gldm","GrayLevelVariance","0.39851590455205177","0.17150769082375275","0.25999190715850806","0.23791904670312544","0.21672188659913505","0.1498847598684","0.34096926993001053","0.2195525117880548","0.28346027214778197"
"original","gldm","HighGrayLevelEmphasis","11.18592839715182","4.796280594652648","7.591851361781894","5.762809441565918","8.954760753987433","9.024541592128802","9.879740542587946","8.925821167883212","5.87697985545133"
"original","gldm","LargeDependenceEmphasis","63.81372304934522","70.92131592335086","68.33884662035506","69.18988677796968","71.95804736587723","73.53812611806798","70.51943563278253","68.33832116788321","68.23581423958173"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","718.9267041776627","330.32462834209485","528.3912779799316","390.73891767415085","647.3591106814887","661.9034548300536","699.8455565550873","610.319799270073","393.3902045209903"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","6.599065268026579","17.035393074947084","10.237953467857537","14.19114346787778","8.684093228075827","8.617629680356787","8.076269523749403","8.382323030717762","13.892558135561366"
"original","gldm","LowGrayLevelEmphasis","0.10951011635047886","0.242132691450141","0.16013189007730852","0.2032559329623233","0.12885519037645668","0.12312296573742795","0.12272847192630822","0.1257828340429846","0.20591404394552942"
"original","gldm","SmallDependenceEmphasis","0.026983810020363083","0.019449059962177342","0.021851817558762067","0.022084905491351392","0.019046736916577132","0.01862708662711258","0.02080091513613584","0.02225103607905382","0.02228979859751921"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","0.29615628093305707","0.10298736374444764","0.15700251005969995","0.13260476131307694","0.16747145123377027","0.16738354929560026","0.20266970793511463","0.20363686450350618","0.13629399198112216"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0038012384570968684","0.004945221172098352","0.004401239871320335","0.004686851395535557","0.003706857799532625","0.003359172250153322","0.0037843403452321907","0.0030077320166277946","0.00548322917944649"
"original","glrlm","GrayLevelNonUniformity","1151.9278451051146","666.1022292179529","793.7453936171792","1025.4867190448222","501.08452253719906","384.03382268774203","598.4579263065517","916.5485545577228","1195.1880713122325"
"original","glrlm","GrayLevelNonUniformityNormalized","0.38243144267887963","0.429683902362035","0.39541774983122374","0.4736004950621601","0.3097153651260841","0.3302141126790073","0.3121393958210738","0.3766856940039707","0.4125989219915104"
"original","glrlm","GrayLevelVariance","0.5725975509041937","0.3947743070552172","0.4875876951116285","0.3059016121897743","0.7616356298242103","0.7407040800444984","0.8009497790761645","0.4974634084020521","0.44484604355673374"
"original","glrlm","HighGrayLevelRunEmphasis","10.93446432558317","5.850863634300765","6.847372568106483","6.445187512633005","8.672322160890122","9.3472841961338","9.700128037691407","8.959410590163952","6.508045085408331"
"original","glrlm","LongRunEmphasis","232.92217568965913","1094.2856812453063","433.762237893337","452.8947919266955","1076.0824139302254","1511.7670699713628","794.0848916101777","432.1681756025446","445.12853398896993"
"original","glrlm","LongRunHighGrayLevelEmphasis","2533.3402156637558","4598.211509713389","3545.620513588834","2358.665618184439","9523.27324831705","13545.428563821017","7627.527755252921","3880.576127427943","2511.7331216552666"
"original","glrlm","LongRunLowGrayLevelEmphasis","25.153498655899675","269.98466239430036","58.67479896192226","98.09510100969366","126.73864720796915","171.05064453814987","88.48923342322581","49.55284486138125","91.42580225314292"
"original","glrlm","LowGrayLevelRunEmphasis","0.13368883600589423","0.25404695934861365","0.21857739190226277","0.19429198831060424","0.20064967832735706","0.1884179611993689","0.18239806049714147","0.14278687239624702","0.22341039375545835"
"original","glrlm","RunEntropy","5.109329738113151","5.151730284311563","5.461304168130798","5.222554782191704","5.31924965773173","5.288925162381826","5.492928275492329","5.469171898800985","5.4136034055484155"
"original","glrlm","RunLengthNonUniformity","417.23877450385294","183.16428760754332","215.827730913708","258.32447099173214","179.59402846941532","135.11500596896485","208.7850961247711","271.946107044578","315.1349959757064"
"original","glrlm","RunLengthNonUniformityNormalized","0.1403696670130459","0.11592902614342397","0.10808475571994804","0.11724755101985808","0.11436680231855065","0.11844997817758812","0.11316137110350835","0.11064224068495636","0.11025779352437515"
"original","glrlm","RunPercentage","0.15210625902504607","0.08813803628963879","0.11101003418237955","0.1038548263289196","0.07893910101498308","0.06584022808586762","0.09211211590360305","0.11082344890510948","0.11161194833153928"
"original","glrlm","RunVariance","184.1489066606161","894.7205110117164","330.3424421962885","347.3674421262424","868.2038996426563","1213.3275137044998","650.5469418799652","333.0003139029845","342.55158597694435"
"original","glrlm","ShortRunEmphasis","0.3569909762135504","0.2999423232345251","0.30731214913354354","0.3250050051066451","0.2792152229716246","0.3146884663482122","0.31027664639415875","0.3021644545941705","0.30069539190135547"
"original","glrlm","ShortRunHighGrayLevelEmphasis","3.798112075158544","1.791450033181551","1.9911473403608835","2.078501158528372","2.3207554771970944","2.828892517413072","2.9798140342161807","2.7464558053817516","1.9383753754588795"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.05920556451324527","0.08621386531673605","0.0868507328072554","0.06840913735788928","0.09042553408682028","0.0915428112586604","0.08437243232406566","0.04561392823008162","0.08827850313839687"
"original","glszm","GrayLevelNonUniformity","71.93333333333334","33.54545454545455","38.05785123966942","64.52147239263803","29.41860465116279","31.20689655172414","36.21367521367522","62.18518518518518","70.02487562189054"
"original","glszm","GrayLevelNonUniformityNormalized","0.3688888888888889","0.43565525383707204","0.31452769619561505","0.39583725394256464","0.3420767982693348","0.35869996036464524","0.3095185915698736","0.3838591678097851","0.34838246578055"
"original","glszm","GrayLevelVariance","0.9158711374095989","0.6652049249451847","0.8760330578512396","0.49380857390191574","1.8512709572742023","1.7521469150482232","1.7541091387245236","0.8639308032312147","0.9291354174401624"
"original","glszm","HighGrayLevelZoneEmphasis","11.123076923076923","7.012987012987013","6.900826446280992","6.54601226993865","8.395348837209303","9.298850574712644","9.854700854700855","10.351851851851851","6.537313432835821"
"original","glszm","LargeAreaEmphasis","638707.6666666666","2623265.5194805195","1351470.0991735538","1277902.0981595092","3238392.7441860465","2789540.2298850575","1914721.7692307692","1773748.7901234569","1377441.4029850746"
"original","glszm","LargeAreaHighGrayLevelEmphasis","7526357.461538462","10676491.753246753","11668672.73553719","6376725.877300614","29059531.674418606","25048067.574712645","18144421.948717948","15926290.469135802","6533068.736318408"
"original","glszm","LargeAreaLowGrayLevelEmphasis","59488.500356125354","651320.1073232323","163977.89566115703","284338.29422290385","363518.53811369505","311892.41068007663","208582.7300213675","198959.72432270236","316043.8220011056"
"original","glszm","LowGrayLevelZoneEmphasis","0.1919871794871795","0.28454184704184704","0.2840909090909091","0.2419052488070893","0.44476744186046513","0.36645913154533843","0.359392212725546","0.14609053497942387","0.37282338308457713"
"original","glszm","SizeZoneNonUniformity","42.15897435897436","12.376623376623376","17.330578512396695","26.607361963190183","17.13953488372093","14.67816091954023","25.786324786324787","27.444444444444443","34.38308457711443"
"original","glszm","SizeZoneNonUniformityNormalized","0.21619986850756082","0.16073536852757633","0.14322792159005532","0.16323534946742443","0.19929691725256896","0.1687144933280486","0.2203959383446563","0.16941015089163236","0.17106012227420114"
"original","glszm","SmallAreaEmphasis","0.4741381526877075","0.3934813741162736","0.37386175874683175","0.4018421841571535","0.44497687975734174","0.40567672906938684","0.47486577493496807","0.41699767709083285","0.39555093944627834"
"original","glszm","SmallAreaHighGrayLevelEmphasis","5.285335520970172","2.8686085762432465","2.552907816946431","2.479736970599388","4.170449104759572","3.848249265799006","4.669959722920119","4.473384584924468","2.588505948101289"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.0913391309694908","0.09743155181624619","0.09562199655903432","0.10635763565624481","0.18252973574916567","0.14054591081713524","0.15337642856547873","0.05963368355361713","0.1360507002936646"
"original","glszm","ZoneEntropy","4.477654676295661","4.529545719412425","5.036189242803568","4.776404918880071","4.370870774639585","4.621361174986015","4.406559567318062","4.846225767836481","4.781140606907314"
"original","glszm","ZonePercentage","0.009709704725389633","0.0043524956192414225","0.006671077296284044","0.007819996161965074","0.004156597390043499","0.004863595706618962","0.0055395104398465985","0.007390510948905109","0.007727202829463324"
"original","glszm","ZoneVariance","628100.7793819855","2570478.965086861","1328999.8414042757","1261549.4941473147","3180513.3363980525","2747265.0886510764","1882133.805098985","1755440.3615302544","1360693.6951560604"
"original","ngtdm","Busyness","96.58607052535316","58.6352716122248","59.788775283428045","96.61898677722179","39.364013749676324","26.066141150479332","34.244135184282115","68.57973824211773","123.4321970926961"
"original","ngtdm","Coarseness","0.000836458526727808","0.0016001389296394922","0.0012523964011922272","0.0010549752307834664","0.0017385552260233343","0.0024289262333509706","0.0014953333276449055","0.0010301805342917579","0.0008553837348706079"
"original","ngtdm","Complexity","1.0868652338785827","0.5054330381744057","0.6468373884088972","0.6423364473034643","0.4403653888294752","0.3582857074423901","0.8619700545084176","0.6759454573323003","0.6604286666210393"
"original","ngtdm","Contrast","0.009528109624279362","0.002148199100892524","0.004374795783533763","0.003717620988904616","0.002518782777064643","0.0013900972773035279","0.0028124231864419987","0.003670880047275458","0.004831918324220215"
"original","ngtdm","Strength","0.006286268006939582","0.009288399505316361","0.006785224944641645","0.006182660949928809","0.009285825495892843","0.013095027310649857","0.013482365287514158","0.006085071672005821","0.004665911951317527"
